"","DR_NO","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","LAT","LON"
"1",221706134,"03/02/2022 12:00:00 AM",1200,17,"Devonshire",310,"BURGLARY",43,"F","A",501,"SINGLE FAMILY DWELLING",34.287,-118.507
"2",210508984,"05/08/2021 12:00:00 AM",1900,5,"Harbor",330,"BURGLARY FROM VEHICLE",56,"F","W",103,"ALLEY",33.7096,-118.2912
"3",220912103,"07/03/2022 12:00:00 AM",1806,9,"Van Nuys",354,"THEFT OF IDENTITY",37,"M","W",401,"MINI-MART",34.1538,-118.4662
"4",240405252,"02/08/2024 12:00:00 AM",1700,4,"Hollenbeck",341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,"M","X",101,"STREET",34.0431,-118.2258
"5",241804855,"10/30/2023 12:00:00 AM",1435,18,"Southeast",341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29,"M","B",124,"BUS STOP",33.931,-118.2543
"6",222004418,"01/11/2022 12:00:00 AM",2300,20,"Olympic",626,"INTIMATE PARTNER - SIMPLE ASSAULT",19,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0524,-118.2891
"7",200510954,"04/28/2020 12:00:00 AM",1900,5,"Harbor",624,"BATTERY - SIMPLE ASSAULT",48,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",33.7813,-118.2609
"8",211907033,"03/28/2021 12:00:00 AM",1330,19,"Mission",648,"ARSON",55,"M","H",108,"PARKING LOT",34.2676,-118.4642
"9",220805762,"02/13/2022 12:00:00 AM",1700,8,"West LA",310,"BURGLARY",69,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0386,-118.4677
"10",211012898,"09/29/2021 12:00:00 AM",1500,10,"West Valley",331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",41,"M","H",101,"STREET",34.2102,-118.5448
"11",230312907,"06/27/2023 12:00:00 AM",1635,3,"Southwest",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",59,"F","B",101,"STREET",34.0256,-118.3384
"12",240404570,"01/19/2024 12:00:00 AM",1,4,"Hollenbeck",648,"ARSON",0,"X","X",102,"SIDEWALK",34.0898,-118.17
"13",220408891,"05/21/2022 12:00:00 AM",830,4,"Hollenbeck",901,"VIOLATION OF RESTRAINING ORDER",71,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0247,-118.2029
"14",230709345,"05/06/2023 12:00:00 AM",1530,7,"Wilshire",510,"VEHICLE - STOLEN",0,"","",101,"STREET",34.0343,-118.362
"15",200312036,"05/29/2020 12:00:00 AM",316,3,"Southwest",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0137,-118.3435
"16",212009214,"05/16/2021 12:00:00 AM",1830,20,"Olympic",626,"INTIMATE PARTNER - SIMPLE ASSAULT",28,"F","W",501,"SINGLE FAMILY DWELLING",34.0746,-118.3185
"17",231306933,"02/26/2023 12:00:00 AM",2040,13,"Newton",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",29,"M","B",501,"SINGLE FAMILY DWELLING",34.002,-118.274
"18",212012270,"07/24/2021 12:00:00 AM",2100,20,"Olympic",330,"BURGLARY FROM VEHICLE",25,"M","K",503,"HOTEL",34.0599,-118.3139
"19",230505815,"02/18/2023 12:00:00 AM",2112,5,"Harbor",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,"M","H",102,"SIDEWALK",33.7442,-118.2879
"20",202011982,"07/11/2020 12:00:00 AM",900,20,"Olympic",510,"VEHICLE - STOLEN",0,"","",101,"STREET",34.0491,-118.2916
"21",211422168,"11/29/2021 12:00:00 AM",730,14,"Pacific",442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",0,"X","X",710,"OTHER PREMISE",33.9757,-118.3737
